index,Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
10,30077,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,9284751200,Acute Care Hospitals,Government - Federal,FALSE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"103 MEDICINE WAY ROAD
PERIDOT, AZ 85542
"
11,30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,APACHE,9286747001,Acute Care Hospitals,Government - Federal,TRUE,,2,This hospitals star rating only includes data reported on inpatient services,Not Available,Results are not available for this reporting period,Same as the National average,,Same as the National average,,Same as the National average,,Below the National average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"US HWY 191, HOSPITAL ROAD
CHINLE, AZ 86503
"
12,40007,CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,PULASKI,5015523000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,2,,Below the National average,,Below the National average,,Below the National average,,Below the National average,,Below the National average,,Same as the National average,,Same as the National average,,"TWO ST VINCENT CIRCLE
LITTLE ROCK, AR 72205
"
13,31305,HOPI HEALTH CARE CENTER,"HIGHWAY 264, MILEPOST 388",POLACCA,AZ,86042,NAVAJO,9287376000,Critical Access Hospitals,Tribal,FALSE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"HIGHWAY 264, MILEPOST 388
POLACCA, AZ 86042
"
14,31309,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191 PO BOX 457,GANADO,AZ,86505,APACHE,9287554559,Critical Access Hospitals,Voluntary non-profit - Private,FALSE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"STATE ROUTE 264 SOUTH 191 PO BOX 457
GANADO, AZ 86505
"
15,41324,CHI ST VINCENT MORRILTON,#4 HOSPITAL DRIVE,MORRILTON,AR,72110,CONWAY,5019772300,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the National average,,Not Available,Results are not available for this reporting period,Same as the National average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"#4 HOSPITAL DRIVE
MORRILTON, AR 72110
"
16,41328,CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,CHICOT,8702655351,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,,3,,Same as the National average,,Not Available,Results are not available for this reporting period,Same as the National average,,Above the National average,,Not Available,Results are not available for this reporting period,Same as the National average,,Below the National average,,"2729 SOUTH HIGHWAY 65 &amp; 82
LAKE VILLAGE, AR 71653
"
17,50054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,,3,,Same as the National average,,Same as the National average,,Same as the National average,,Below the National average,,Same as the National average,,Below the National average,,Not Available,Results are not available for this reporting period,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA 92220
"
18,50055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,,2,,Same as the National average,,Below the National average,,Same as the National average,,Below the National average,,Same as the National average,,Below the National average,,Same as the National average,,"3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA 94110
"
19,50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,4,,Above the National average,,Above the National average,,Same as the National average,,Above the National average,,Same as the National average,,Same as the National average,,Below the National average,,"ONE HOAG DRIVE
NEWPORT BEACH, CA 92663
"
20,50309,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,PLACER,9167811000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,,4,,Same as the National average,,Same as the National average,,Above the National average,,Same as the National average,,Above the National average,,Below the National average,,Above the National average,,"ONE MEDICAL PLAZA
ROSEVILLE, CA 95661
"
21,50441,STANFORD HEALTH CARE,300 PASTEUR DRIVE,STANFORD,CA,94305,SANTA CLARA,6507235708,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,4,,Same as the National average,,Same as the National average,,Above the National average,,Above the National average,,Above the National average,,Below the National average,,Same as the National average,,"300 PASTEUR DRIVE
STANFORD, CA 94305
"
22,50488,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,ALAMEDA,5105371234,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,,3,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,Above the National average,,Below the National average,,Same as the National average,,"20103 LAKE CHABOT ROAD
CASTRO VALLEY, CA 94546
"
23,50567,MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,92691,ORANGE,9493641400,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,3,,Same as the National average,,Below the National average,,Above the National average,,Below the National average,,Same as the National average,,Below the National average,,Below the National average,,"27700 MEDICAL CENTER RD
MISSION VIEJO, CA 92691
"
24,50717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,7601 EAST IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,5624017022,Acute Care Hospitals,Government - Local,FALSE,,3,,Not Available,Results are not available for this reporting period,Same as the National average,,Not Available,Results are not available for this reporting period,Same as the National average,,Same as the National average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"7601 EAST IMPERIAL HIGHWAY
DOWNEY, CA 90242
"
25,53306,CHILDREN'S HOSPITAL AT MISSION,"27700 MEDICAL CENTER RD, 5TH FLOOR",MISSION VIEJO,CA,92691,ORANGE,9493652408,Childrens,Voluntary non-profit - Private,TRUE,,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"27700 MEDICAL CENTER RD, 5TH FLOOR
MISSION VIEJO, CA 92691
"
26,60104,ST ANTHONY NORTH HEALTH CAMPUS,14300 ORCHARD PARKWAY,WESTMINSTER,CO,80023,BROOMFIELD,3034303201,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,,4,,Same as the National average,,Above the National average,,Above the National average,,Same as the National average,,Above the National average,,Same as the National average,,Same as the National average,,"14300 ORCHARD PARKWAY
WESTMINSTER, CO 80023
"
27,70029,BRISTOL HOSPITAL,BREWSTER RD,BRISTOL,CT,6010,HARTFORD,8605853000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,3,,Same as the National average,,Above the National average,,Below the National average,,Above the National average,,Same as the National average,,Same as the National average,,Above the National average,,"BREWSTER RD
BRISTOL, CT 06010
"
28,80003,ST FRANCIS HOSPITAL,7TH AND CLAYTON STS,WILMINGTON,DE,19805,NEW CASTLE,3024214100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,4,,Same as the National average,,Above the National average,,Same as the National average,,Below the National average,,Same as the National average,,Below the National average,,Same as the National average,,"7TH AND CLAYTON STS
WILMINGTON, DE 19805
"
29,100054,TWIN CITIES HOSPITAL,2190 HWY 85 N,NICEVILLE,FL,32578,OKALOOSA,8506784131,Acute Care Hospitals,Proprietary,TRUE,,4,,Same as the National average,,Above the National average,,Same as the National average,,Above the National average,,Above the National average,,Above the National average,,Below the National average,,"2190 HWY 85 N
NICEVILLE, FL 32578
"
30,100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,40100 US HWY 27 N,DAVENPORT,FL,33837,POLK,8634224971,Acute Care Hospitals,Proprietary,TRUE,,2,,Same as the National average,,Same as the National average,,Below the National average,,Below the National average,,Below the National average,,Below the National average,,Same as the National average,,"40100 US HWY 27 N
DAVENPORT, FL 33837
"
31,100209,KENDALL REGIONAL MEDICAL CENTER,11750 BIRD RD,MIAMI,FL,33175,MIAMI-DADE,3052233000,Acute Care Hospitals,Proprietary,TRUE,,3,,Same as the National average,,Above the National average,,Below the National average,,Below the National average,,Above the National average,,Same as the National average,,Same as the National average,,"11750 BIRD RD
MIAMI, FL 33175
"
32,21301,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,AK,99686,,9078352249,Critical Access Hospitals,Government - Local,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"PO BOX 550
VALDEZ, AK 99686
"
33,21304,PETERSBURG MEDICAL CENTER, PO BOX 589,PETERSBURG,AK,99833,,9077724291,Critical Access Hospitals,Government - Local,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"PO BOX 589
PETERSBURG, AK 99833
"
34,21307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,,9074248000,Critical Access Hospitals,Government - Local,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"PO BOX 160 - 602 CHASE AVENUE
CORDOVA, AK 99574
"
35,110042,WELLSTAR PAULDING HOSPITAL,2518 JIMMY LEE SMITH PARKWAY,HIRAM,GA,30141,PAULDING,4706447000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,,3,,Same as the National average,,Same as the National average,,Above the National average,,Above the National average,,Same as the National average,,Below the National average,,Same as the National average,,"2518 JIMMY LEE SMITH PARKWAY
HIRAM, GA 30141
"
36,110128,MEADOWS REGIONAL MEDICAL CENTER,ONE MEADOWS PARKWAY,VIDALIA,GA,30474,TOOMBS,9125355828,Acute Care Hospitals,Proprietary,TRUE,,3,,Same as the National average,,Below the National average,,Same as the National average,,Above the National average,,Same as the National average,,Above the National average,,Below the National average,,"ONE MEADOWS PARKWAY
VIDALIA, GA 30474
"
37,120028,NORTH HAWAII COMMUNITY HOSPITAL,67 1125 MAMALAHOA HIGHWAY,KAMUELA,HI,96743,HAWAII,8088854444,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,3,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,"67 1125 MAMALAHOA HIGHWAY
KAMUELA, HI 96743
"
38,140002,ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,ALTON,IL,62002,MADISON,6184637300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,3,,Same as the National average,,Below the National average,,Same as the National average,,Above the National average,,Same as the National average,,Same as the National average,,Above the National average,,"ONE MEMORIAL DRIVE
ALTON, IL 62002
"
39,140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,7732576751,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,1,,Same as the National average,,Below the National average,,Same as the National average,,Below the National average,,Same as the National average,,Below the National average,,Same as the National average,,"15TH STREET AT CALIFORNIA
CHICAGO, IL 60608
"
40,140052,OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,ALTON,IL,62002,MADISON,6184652571,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,,3,,Same as the National average,,Same as the National average,,Below the National average,,Above the National average,,Above the National average,,Above the National average,,Same as the National average,,"ST ANTHONY'S WAY
ALTON, IL 62002
"
41,140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,HARVEY,IL,60426,COOK,7083332300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,3,,Above the National average,,Above the National average,,Below the National average,,Below the National average,,Above the National average,,Same as the National average,,Same as the National average,,"ONE INGALLS DRIVE
HARVEY, IL 60426
"
42,140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,COOK,8474375500,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,,4,,Above the National average,,Below the National average,,Above the National average,,Above the National average,,Above the National average,,Same as the National average,,Same as the National average,,"800 W BIESTERFIELD RD
ELK GROVE VILLAGE, IL 60007
"
43,140286,KISHWAUKEE COMMUNITY HOSPITAL,ONE KISH HOSPITAL DRIVE,DEKALB,IL,60115,DEKALB,8157561521,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,4,,Same as the National average,,Above the National average,,Above the National average,,Same as the National average,,Above the National average,,Above the National average,,Same as the National average,,"ONE KISH HOSPITAL DRIVE
DEKALB, IL 60115
"
44,141302,MIDWEST MEDICAL CENTER,ONE MEDICAL CENTER DRIVE,GALENA,IL,61036,JO DAVIESS,8157771340,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the National average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"ONE MEDICAL CENTER DRIVE
GALENA, IL 61036
"
45,141328,HARDIN COUNTY GENERAL HOSPITAL,FERRELL ROAD,ROSICLARE,IL,62982,HARDIN,6182856634,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the National average,,Not Available,Results are not available for this reporting period,Same as the National average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"FERRELL ROAD
ROSICLARE, IL 62982
"
46,143301,LARABIDA CHILDRENS HOSPITAL I,E 65TH ST AT LAKE MICHIGAN,CHICAGO,IL,60649,COOK,7733636700,Childrens,Voluntary non-profit - Private,FALSE,,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"E 65TH ST AT LAKE MICHIGAN
CHICAGO, IL 60649
"
47,150069,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,IN,47250,JEFFERSON,8128010105,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,4,,Same as the National average,,Above the National average,,Same as the National average,,Above the National average,,Same as the National average,,Same as the National average,,Same as the National average,,"1373 EAST SR 62
MADISON, IN 47250
"
48,161377,MERCY MEDICAL CENTER-CENTERVILLE,ONE ST JOSEPH'S DRIVE,CENTERVILLE,IA,52544,APPANOOSE,6414374111,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,,3,This hospitals star rating only includes data reported on inpatient services,Same as the National average,,Not Available,Results are not available for this reporting period,Same as the National average,,Same as the National average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"ONE ST JOSEPH'S DRIVE
CENTERVILLE, IA 52544
"
49,171373,ALLEN COUNTY REGIONAL HOSPITAL,3066 NORTH KENTUCKY STREET,IOLA,KS,66749,ALLEN,6203651021,Critical Access Hospitals,Proprietary,TRUE,,2,,Same as the National average,,Not Available,Results are not available for this reporting period,Same as the National average,,Same as the National average,,Same as the National average,,Above the National average,,Same as the National average,,"3066 NORTH KENTUCKY STREET
IOLA, KS 66749
"
50,171312,COMANCHE COUNTY HOSPITAL,2ND & FRISCO STREET,COLDWATER,KS,67029,COMANCHE,6205822144,Critical Access Hospitals,Government - Local,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"2ND &amp; FRISCO STREET
COLDWATER, KS 67029
"
51,171324,SATANTA DISTRICT HOSPITAL,CHEYENNE & APACHE,SATANTA,KS,67870,HASKELL,6206492761,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"CHEYENNE &amp; APACHE
SATANTA, KS 67870
"
52,171338,SABETHA COMMUNITY HOSPITAL,14TH & OREGON,SABETHA,KS,66534,NEMAHA,7852842121,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the National average,,"14TH &amp; OREGON
SABETHA, KS 66534
"
53,171339,GREENWOOD COUNTY HOSPITAL,100 W 16TH STREET,EUREKA,KS,67045,GREENWOOD,6205837451,Critical Access Hospitals,Government - Local,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the National average,,Not Available,Results are not available for this reporting period,Same as the National average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"100 W 16TH STREET
EUREKA, KS 67045
"
54,171344,WILSON MEDICAL CENTER,REECE CAMPUS 2600 OTTAWA ROAD,NEODESHA,KS,66757,WILSON,6203258369,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the National average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the National average,,Not Available,Results are not available for this reporting period,"REECE CAMPUS 2600 OTTAWA ROAD
NEODESHA, KS 66757
"
55,180010,SAINT JOSEPH HOSPITAL,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,FAYETTE,8593131000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,,2,,Same as the National average,,Below the National average,,Same as the National average,,Below the National average,,Below the National average,,Below the National average,,Same as the National average,,"ONE SAINT JOSEPH DRIVE
LEXINGTON, KY 40504
"
56,180079,HARRISON MEMORIAL HOSPITAL,1210 KY HWY 36 E,CYNTHIANA,KY,41031,HARRISON,8592342300,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,,4,,Same as the National average,,Same as the National average,,Same as the National average,,Above the National average,,Same as the National average,,Above the National average,,Same as the National average,,"1210 KY HWY 36 E
CYNTHIANA, KY 41031
"
